ScoreId,GameId,PlayerId,Rank,RawScore,Score,
206,49,23,2,0,7,
207,49,98,3,0,-10,
208,49,61,4,0,-23,
209,50,66,1,0,40,
210,50,31,2,0,14,
211,50,70,3,0,-15,
212,50,98,4,0,-39,
213,51,6,1,0,51,
214,51,98,2,0,14,
215,51,65,3,0,-24,
216,51,52,4,0,-41,
217,52,84,1,0,22,
218,52,70,2,0,8,
219,52,66,3,0,-10,
220,52,23,4,0,-25,
221,53,52,1,0,45,
222,53,31,2,0,15,
223,53,12,3,0,-7,
224,53,84,4,0,-20,
225,53,66,5,0,-33,
226,54,6,1,0,26,
227,54,23,2,0,8,
228,54,39,2,0,8,
229,54,98,4,0,-9,
230,54,65,5,0,-33,
231,55,52,1,0,39,
232,55,39,2,0,14,
233,55,98,3,0,4,
234,55,12,4,0,-9,
235,55,31,5,0,-48,
236,56,70,1,0,41,
237,56,6,2,0,18,
238,56,84,3,0,4,
239,56,21,4,0,-16,
240,56,66,5,0,-47,
241,57,23,1,0,28,
242,57,52,2,0,16,
243,57,21,3,0,3,
244,57,39,4,0,-9,
245,57,6,5,0,-38,
246,58,98,1,0,41,
247,58,84,2,0,24,
248,58,70,3,0,0,
249,58,65,4,0,-12,
250,58,31,5,0,-53,
251,59,98,1,0,23,
252,59,61,2,0,3,
253,59,66,3,0,-7,
254,59,12,4,0,-19,
255,60,6,1,0,25,
256,60,70,2,0,8,
257,60,84,3,0,-8,
258,60,65,4,0,-25,
259,61,6,1,0,25,
260,61,70,2,0,8,
261,61,84,3,0,-8,
262,61,65,4,0,-25,
263,62,31,1,0,29,
264,62,23,2,0,16,
265,62,39,3,0,5,
266,62,52,4,0,-14,
267,62,21,5,0,-36,
268,63,84,1,0,22,
269,63,23,2,0,9,
270,63,6,3,0,-7,
271,63,61,4,0,-24,
272,64,66,1,0,40,
273,64,39,2,0,3,
274,64,52,3,0,-16,
275,64,65,4,0,-27,
276,65,98,1,0,43,
277,65,31,2,0,4,
278,65,22,3,0,-7,
279,65,70,4,0,-40,
280,66,31,1,0,33,
281,66,12,2,0,12,
282,66,23,3,0,1,
283,66,66,4,0,-10,
284,66,98,5,0,-36,
285,67,65,1,0,65,
286,67,70,2,0,22,
287,67,84,3,0,-13,
288,67,39,4,0,-24,
289,67,52,5,0,-50,
290,68,70,1,0,35,
291,68,6,2,0,18,
